School.Name,Zip.Code,Program,Distance from Pasadena (Miles),2012/13 Taken,2012/13 Pass Rate,2013/14 Taken,2013/14 Pass Rate,2014/15 Taken,2014/15 Pass Rate,2015/16 Taken,2015/16 Pass Rate,2016/17 Taken,2016/17 Pass Rate,school_type
*Bradley University,61625,RN to BSN/MSN,1936.09,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,private
*Chamberlain University,60515,RN to BSN/MSN,1983.57,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,private
*Kaplan University School of Nursing,60607,RN to BSN/MSN,2004.63,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,private
*University of Indianapolis,46227,RN to BSN/MSN,2059.56,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,private
*Harrison College,46239,RN to BSN/MSN,2068.06,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,private
*Notre Dame College,44121,RN to BSN/MSN,2349.64,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,private
*Jacksonville University Online School of Nursing,33619,RN to BSN/MSN,2528.26,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,private
*Villanova University,33619,RN to BSN/MSN,2528.26,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,private
*Drexel University,19104,RN to BSN/MSN,2700.16,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,private
*Widener University,19013,RN to BSN/MSN,2707.75,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,private
*Pace University – iPace Online Completion,10038,RN to BSN/MSN,2780.64,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,private
*Gannon University,16541,RN to BSN/MSN,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,private
*Loma Linda University,92350,RN to BSN/MSN,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,private
*Regis College,2493,RN to BSN/MSN,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,private
*Sacred Heart University,6825,RN to BSN/MSN,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,private
*Saint Peters University,7306,RN to BSN/MSN,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,private
"California State University, Los Angeles",90032,RN to BSN/MSN,9.03,77,96.10%,38,86.84%,64,95.31%,80,95%,87,96.55%,public
"California State University, Dominguez Hills",90747,RN to BSN/MSN,31.48,20,70%,12,66.67%,23,69.57%,19,78.95%,N/A,N/A,public
"California State University, Northridge",91330,RN to BSN/MSN,31.7,38,94.74%,36,91.67%,55,89.09%,55,87.27%,57,89.47%,public
"California State University, Fullerton",92834,RN to BSN/MSN,38.74,43,93.02%,38,89.47%,49,87.76%,52,92.31%,66,95.45%,public
"California State University, Long Beach",90840,RN to BSN/MSN,41,194,95.88%,160,89.38%,116,94.83%,118,98.31%,145,97.24%,public
"California State University, San Bernardino",92407,RN to BSN/MSN,50.77,110,89.09%,104,81.73%,127,77.95%,104,90.38%,118,91.53%,public
"California State University, Channel Islands",93012,RN to BSN/MSN,58.15,25,96%,32,100%,47,93.62%,40,100%,41,92.68%,public
"California State University, Bakersfield",93311,RN to BSN/MSN,110.38,78,97.44%,N/A,N/A,49,83.67%,59,96.61%,51,96.08%,public
"California State University, San Marcos",92096,RN to BSN/MSN,112.62,153,97.39%,144,95.83%,170,97.06%,154,94.81%,149,95.97%,public
San Diego State University,92182,RN to BSN/MSN,137.71,158,87.97%,122,90.98%,151,92.72%,128,95.31%,158,96.84%,public
"California State University, Fresno",93740,RN to BSN/MSN,229.42,105,91.43%,156,81.41%,100,77%,108,87.96%,98,85.71%,public
"California State University, Stanislaus",95382,RN to BSN/MSN,307.55,67,94.03%,86,94.19%,81,95.53%,54,96.30%,68,98.53%,public
The Valley Foundation School of Nursing at San Jose State University,95192,RN to BSN/MSN,342.71,132,93.94%,119,86.55%,104,80.77%,126,92.06%,119,94.96%,public
"California State University, East Bay",94542,RN to BSN/MSN,362.8,122,82.79%,111,88.29%,127,84.25%,88,82.95%,110,90.91%,public
Arizona State University (ASU Online),85257,RN to BSN/MSN,381.68,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,public
San Francisco State University,94132,RN to BSN/MSN,389.73,119,87.39%,126,76.98%,109,87.16%,168,78.57%,83,81.93%,public
"California State University, Sacramento",95819,RN to BSN/MSN,390.82,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,public
Sonoma State University,94928,RN to BSN/MSN,425.9,43,97.67%,18,100%,12,83.33%,24,100%,24,100%,public
"California State University, Chico",95929,RN to BSN/MSN,476.81,80,92.50%,71,91.55%,69,95.65%,76,94.74%,64,96.88%,public
University of Arizona,85721,RN to BSN/MSN,483.74,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,public
Colorado Mesa University,81501,RN to BSN/MSN,765.18,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,public
University of Colorado College of Nursing,80045,RN to BSN/MSN,1019.93,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,public
Colorado Technical University,80907,RN to BSN/MSN,1069.31,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,public
The University of Texas of the Permian Basin,79762,RN to BSN/MSN,1092.29,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,public
Lamar University,77705,RN to BSN/MSN,1625.66,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,public
Louisiana State University of Alexandria,71302,RN to BSN/MSN,1745.34,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,public
Arkansas State University,72401,RN to BSN/MSN,1760.55,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,public
University of West Florida,32514,RN to BSN/MSN,2064.08,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,public
University of Cincinnati,45219,RN to BSN/MSN,2164.14,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,public
Columbus State University,31907,RN to BSN/MSN,2180.59,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,public
Ohio University School of Nursing,45701,RN to BSN/MSN,2308.97,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,public
University of South Carolina,29208,RN to BSN/MSN,2380.64,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,public
University of North Florida,32224,RN to BSN/MSN,2426.3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,public
University of North Carolina Wilmington,28403,RN to BSN/MSN,2585.39,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,public
Rutgers University,8102,RN to BSN/MSN,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,public
University of Louisiana at Lafayette,70504,RN to BSN/MSN,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,public
University of Rhode Island,2881,RN to BSN/MSN,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,public
University of Texas at Arlington,76019,RN to BSN/MSN,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,public
